SampleID	Zymo	Platform	Extraction	SuperNatant	Length	Limit	Overlaps	ContigID	Taxon	ContigSize
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg45	Escherichia coli	39988
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg46	Escherichia coli	41774
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg47	Saccharomyces cerevisiae	41209
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg48	Escherichia coli	45566
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg49	Salmonella enterica	38036
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg50	Enterococcus faecalis	36853
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg51	Escherichia coli	36181
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg52	Escherichia coli	36044
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg53	Escherichia coli	34919
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg54	Escherichia coli	34485
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg55	Saccharomyces cerevisiae	33887
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg56	Escherichia coli	34131
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg57	Escherichia coli	32187
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg58	Escherichia coli	32213
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg59	Salmonella enterica	31922
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg60	Escherichia coli	30287
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg61	Escherichia coli	29868
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg62	Escherichia coli	59689
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg63	Saccharomyces cerevisiae	28178
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg64	Saccharomyces cerevisiae	26447
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg65	Escherichia coli	25909
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg66	Saccharomyces cerevisiae	25539
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg67	Salmonella enterica	40917
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg68	Saccharomyces cerevisiae	23119
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg69	Saccharomyces cerevisiae	22201
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg70	Saccharomyces cerevisiae	22360
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg71	Saccharomyces cerevisiae	21803
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg72	Escherichia coli	21388
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg73	Saccharomyces cerevisiae	20858
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg74	Saccharomyces cerevisiae	29881
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg75	Salmonella enterica	21991
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg76	Saccharomyces cerevisiae	20667
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg77	Saccharomyces cerevisiae	20028
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg78	Saccharomyces cerevisiae	20257
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg79	Bacillus subtilis	20086
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg80	Saccharomyces cerevisiae	19998
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg81	Saccharomyces cerevisiae	17968
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg82	Saccharomyces cerevisiae	20660
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg83	Cryptococcus neoformans	18694
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg84	Cryptococcus neoformans	18511
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg85	Saccharomyces cerevisiae	18259
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg86	Saccharomyces cerevisiae	16966
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg87	Saccharomyces cerevisiae	17527
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg88	Escherichia coli	16862
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg89	Cryptococcus neoformans	17082
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg90	Saccharomyces cerevisiae	17757
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg91	Salmonella enterica	17173
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg92	Escherichia coli	22082
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg93	Enterococcus faecalis	15919
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg94	Saccharomyces cerevisiae	16186
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg95	Saccharomyces cerevisiae	15855
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg96	Saccharomyces cerevisiae	17043
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg97	Lactobacillus fermentum	15609
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg98	Escherichia coli	16884
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg99	Saccharomyces cerevisiae	15378
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg100	Saccharomyces cerevisiae	14601
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg101	Saccharomyces cerevisiae	20691
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg102	Saccharomyces cerevisiae	14210
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg103	Saccharomyces cerevisiae	14196
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg104	Saccharomyces cerevisiae	14698
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg105	Lactobacillus fermentum	14725
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg106	Saccharomyces cerevisiae	14729
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg107	Saccharomyces cerevisiae	14283
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg108	Saccharomyces cerevisiae	13401
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg109	Saccharomyces cerevisiae	25147
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg110	Saccharomyces cerevisiae	13620
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg111	Saccharomyces cerevisiae	14218
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg112	Enterococcus faecalis	12938
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg113	Saccharomyces cerevisiae	13263
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg114	Saccharomyces cerevisiae	13456
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg115	Saccharomyces cerevisiae	12460
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg116	Saccharomyces cerevisiae	13521
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg117	Saccharomyces cerevisiae	12953
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg118	Saccharomyces cerevisiae	12579
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg119	Enterococcus faecalis	12399
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg120	Saccharomyces cerevisiae	13056
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg121	Enterococcus faecalis	12938
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg122	Saccharomyces cerevisiae	12272
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg123	Saccharomyces cerevisiae	12013
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg124	Salmonella enterica	18021
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg125	Cryptococcus neoformans	11881
Zymo-GridION-EVEN-BB-SN-L4000-e10	Zymo	GridION	EVEN	BB	SN	L4000	e10	ctg126	Saccharomyces cerevisiae	22884
